Voltage U1	Corriente IA	Voltage U2	Voltage U3	Voltage UH
U1/V	IA/nA	U2/V	U3/V	UH/V

13,74	1,13	4,0	5,9	5,0
13,77	1,12	4,0	5,9	5,0
13,79	1,12	4,0	5,9	5,0
13,82	1,11	4,0	5,9	5,0
13,84	1,08	4,0	5,9	5,0
13,87	1,07	4,0	5,9	5,0
13,89	1,07	4,0	5,9	5,0
13,91	1,05	4,0	5,9	5,0
13,94	1,04	4,0	5,9	5,0
13,96	1,03	4,0	5,9	5,0
13,99	1,02	4,0	5,9	5,0
14,01	1,01	4,0	5,9	5,0
14,04	0,99	4,0	5,9	5,0
14,06	0,98	4,0	5,9	5,0
14,09	0,97	4,0	5,9	5,0
14,11	0,96	4,0	5,9	5,0
14,13	0,94	4,0	5,9	5,0
14,16	0,93	4,0	5,9	5,0
14,18	0,93	4,0	5,9	5,0
14,21	0,91	4,0	5,9	5,0
14,23	0,90	4,0	5,9	5,0
14,26	0,89	4,0	5,9	5,0
14,28	0,88	4,0	5,9	5,0
14,31	0,87	4,0	5,9	5,0
14,33	0,85	4,0	5,9	5,0
14,35	0,84	4,0	5,9	5,0
14,38	0,82	4,0	5,9	5,0
14,40	0,82	4,0	5,9	5,0
14,43	0,81	4,0	5,9	5,0
14,45	0,79	4,0	5,9	5,0
14,48	0,78	4,0	5,9	5,0
14,50	0,77	4,0	5,9	5,0
14,52	0,76	4,0	5,9	5,0
14,55	0,74	4,0	5,9	5,0
14,57	0,72	4,0	5,9	5,0
14,60	0,72	4,0	5,9	5,0
14,62	0,70	4,0	5,9	5,0
14,65	0,68	4,0	5,9	5,0
14,67	0,67	4,0	5,9	5,0
14,70	0,67	4,0	5,9	5,0
14,72	0,66	4,0	5,9	5,0
14,74	0,64	4,0	5,9	5,0
14,77	0,63	4,0	5,9	5,0
14,79	0,62	4,0	5,9	5,0
14,82	0,61	4,0	5,9	5,0
14,84	0,59	4,0	5,9	5,0
14,87	0,57	4,0	5,9	5,0
14,89	0,57	4,0	5,9	5,0
14,92	0,55	4,0	5,9	5,0
14,94	0,54	4,0	5,9	5,0
14,96	0,53	4,0	5,9	5,0
14,99	0,52	4,0	5,9	5,0
15,01	0,51	4,0	5,9	5,0
15,04	0,50	4,0	5,9	5,0
15,06	0,47	4,0	5,9	5,0
15,09	0,46	4,0	5,9	5,0
15,11	0,46	4,0	5,9	5,0
15,14	0,45	4,0	5,9	5,0
15,16	0,43	4,0	5,9	5,0
15,18	0,42	4,0	5,9	5,0
15,21	0,41	4,0	5,9	5,0
15,23	0,41	4,0	5,9	5,0
15,26	0,39	4,0	5,9	5,0
15,28	0,37	4,0	5,9	5,0
15,31	0,37	4,0	5,9	5,0
15,33	0,36	4,0	5,9	5,0
15,36	0,34	4,0	5,9	5,0
15,38	0,34	4,0	5,9	5,0
15,40	0,34	4,0	5,9	5,0
15,43	0,33	4,0	5,9	5,0
15,45	0,31	4,0	5,9	5,0
15,48	0,30	4,0	5,9	5,0
15,50	0,31	4,0	5,9	5,0
15,53	0,30	4,0	5,9	5,0
15,55	0,28	4,0	5,9	5,0
15,57	0,27	4,0	5,9	5,0
15,60	0,27	4,0	5,9	5,0
15,62	0,27	4,0	5,9	5,0
15,65	0,25	4,0	5,9	5,0
15,67	0,25	4,0	5,9	5,0
15,70	0,25	4,0	5,9	5,0
15,72	0,25	4,0	5,9	5,0
15,75	0,23	4,0	5,9	5,0
15,77	0,23	4,0	5,9	5,0
15,79	0,23	4,0	5,9	5,0
15,82	0,22	4,0	5,9	5,0
15,84	0,21	4,0	5,9	5,0
15,87	0,21	4,0	5,9	5,0
15,89	0,21	4,0	5,9	5,0
15,92	0,20	4,0	5,9	5,0
15,94	0,20	4,0	5,9	5,0
15,97	0,20	4,0	5,9	5,0
15,99	0,20	4,0	5,9	5,0
