Voltage U1	Corriente IA	Voltage U2	Voltage U3	Voltage UH
U1/V	IA/nA	U2/V	U3/V	UH/V

10,81	2,37	7,0	5,8	5,5
10,84	2,38	7,0	5,8	5,5
10,86	2,37	7,0	5,8	5,5
10,89	2,37	7,0	5,8	5,5
10,91	2,39	7,0	5,8	5,5
10,94	2,39	7,0	5,8	5,5
10,96	2,38	7,0	5,8	5,5
10,98	2,38	7,0	5,8	5,5
11,01	2,40	7,0	5,8	5,5
11,03	2,39	7,0	5,8	5,5
11,06	2,39	7,0	5,8	5,5
11,08	2,40	7,0	5,8	5,5
11,11	2,41	7,0	5,8	5,5
11,13	2,41	7,0	5,8	5,5
11,15	2,41	7,0	5,8	5,5
11,18	2,41	7,0	5,8	5,5
11,20	2,42	7,0	5,8	5,5
11,23	2,42	7,0	5,8	5,5
11,25	2,41	7,0	5,8	5,5
11,28	2,42	7,0	5,8	5,5
11,30	2,43	7,0	5,8	5,5
11,33	2,44	7,0	5,8	5,5
11,35	2,43	7,0	5,8	5,5
11,37	2,43	7,0	5,8	5,5
11,40	2,45	7,0	5,8	5,5
11,42	2,45	7,0	5,8	5,5
11,45	2,44	7,0	5,8	5,5
11,47	2,45	7,0	5,8	5,5
11,50	2,46	7,0	5,8	5,5
11,52	2,46	7,0	5,8	5,5
11,55	2,45	7,0	5,8	5,5
11,57	2,46	7,0	5,8	5,5
11,59	2,48	7,0	5,8	5,5
11,62	2,48	7,0	5,8	5,5
11,64	2,47	7,0	5,8	5,5
11,67	2,48	7,0	5,8	5,5
11,69	2,49	7,0	5,8	5,5
11,72	2,49	7,0	5,8	5,5
11,74	2,48	7,0	5,8	5,5
11,77	2,49	7,0	5,8	5,5
11,79	2,50	7,0	5,8	5,5
11,81	2,50	7,0	5,8	5,5
11,84	2,49	7,0	5,8	5,5
11,86	2,50	7,0	5,8	5,5
11,89	2,51	7,0	5,8	5,5
11,91	2,52	7,0	5,8	5,5
11,94	2,51	7,0	5,8	5,5
11,96	2,51	7,0	5,8	5,5
11,99	2,51	7,0	5,8	5,5
12,01	2,52	7,0	5,8	5,5
12,03	2,52	7,0	5,8	5,5
12,06	2,52	7,0	5,8	5,5
12,08	2,52	7,0	5,8	5,5
12,11	2,53	7,0	5,8	5,5
12,13	2,53	7,0	5,8	5,5
12,16	2,53	7,0	5,8	5,5
12,18	2,53	7,0	5,8	5,5
12,21	2,54	7,0	5,8	5,5
12,23	2,54	7,0	5,8	5,5
12,25	2,53	7,0	5,8	5,5
12,28	2,54	7,0	5,8	5,5
12,30	2,55	7,0	5,8	5,5
12,33	2,55	7,0	5,8	5,5
12,35	2,54	7,0	5,8	5,5
12,38	2,55	7,0	5,8	5,5
12,40	2,56	7,0	5,8	5,5
12,42	2,56	7,0	5,8	5,5
12,45	2,55	7,0	5,8	5,5
12,47	2,55	7,0	5,8	5,5
12,50	2,56	7,0	5,8	5,5
12,52	2,56	7,0	5,8	5,5
12,55	2,55	7,0	5,8	5,5
12,57	2,55	7,0	5,8	5,5
12,60	2,56	7,0	5,8	5,5
12,62	2,57	7,0	5,8	5,5
12,64	2,57	7,0	5,8	5,5
12,67	2,56	7,0	5,8	5,5
12,69	2,56	7,0	5,8	5,5
12,72	2,57	7,0	5,8	5,5
12,74	2,57	7,0	5,8	5,5
12,77	2,56	7,0	5,8	5,5
12,79	2,57	7,0	5,8	5,5
12,82	2,58	7,0	5,8	5,5
12,84	2,58	7,0	5,8	5,5
12,86	2,57	7,0	5,8	5,5
12,89	2,58	7,0	5,8	5,5
12,91	2,59	7,0	5,8	5,5
12,94	2,58	7,0	5,8	5,5
12,96	2,58	7,0	5,8	5,5
12,99	2,59	7,0	5,8	5,5
13,01	2,59	7,0	5,8	5,5
13,04	2,59	7,0	5,8	5,5
13,06	2,58	7,0	5,8	5,5
13,08	2,59	7,0	5,8	5,5
13,11	2,60	7,0	5,8	5,5
13,13	2,60	7,0	5,8	5,5
13,16	2,59	7,0	5,8	5,5
13,18	2,59	7,0	5,8	5,5
13,21	2,60	7,0	5,8	5,5
13,23	2,60	7,0	5,8	5,5
13,26	2,59	7,0	5,8	5,5
13,28	2,60	7,0	5,8	5,5
13,30	2,61	7,0	5,8	5,5
13,33	2,60	7,0	5,8	5,5
13,35	2,59	7,0	5,8	5,5
13,38	2,60	7,0	5,8	5,5
13,40	2,60	7,0	5,8	5,5
13,43	2,59	7,0	5,8	5,5
13,45	2,58	7,0	5,8	5,5
13,47	2,58	7,0	5,8	5,5
13,50	2,59	7,0	5,8	5,5
13,52	2,58	7,0	5,8	5,5
13,55	2,57	7,0	5,8	5,5
13,57	2,57	7,0	5,8	5,5
13,60	2,57	7,0	5,8	5,5
13,62	2,55	7,0	5,8	5,5
13,65	2,54	7,0	5,8	5,5
13,67	2,53	7,0	5,8	5,5
13,69	2,53	7,0	5,8	5,5
13,72	2,51	7,0	5,8	5,5
13,74	2,50	7,0	5,8	5,5
13,77	2,49	7,0	5,8	5,5
13,79	2,48	7,0	5,8	5,5
13,82	2,47	7,0	5,8	5,5
13,84	2,45	7,0	5,8	5,5
13,87	2,44	7,0	5,8	5,5
13,89	2,43	7,0	5,8	5,5
13,91	2,40	7,0	5,8	5,5
13,94	2,38	7,0	5,8	5,5
13,96	2,38	7,0	5,8	5,5
13,99	2,36	7,0	5,8	5,5
14,01	2,34	7,0	5,8	5,5
14,04	2,32	7,0	5,8	5,5
14,06	2,31	7,0	5,8	5,5
14,09	2,29	7,0	5,8	5,5
14,11	2,26	7,0	5,8	5,5
14,13	2,23	7,0	5,8	5,5
14,16	2,22	7,0	5,8	5,5
14,18	2,20	7,0	5,8	5,5
14,21	2,17	7,0	5,8	5,5
14,23	2,14	7,0	5,8	5,5
14,26	2,13	7,0	5,8	5,5
14,28	2,10	7,0	5,8	5,5
14,31	2,07	7,0	5,8	5,5
14,33	2,05	7,0	5,8	5,5
14,35	2,02	7,0	5,8	5,5
14,38	2,00	7,0	5,8	5,5
14,40	1,97	7,0	5,8	5,5
14,43	1,94	7,0	5,8	5,5
14,45	1,91	7,0	5,8	5,5
14,48	1,89	7,0	5,8	5,5
14,50	1,86	7,0	5,8	5,5
14,52	1,83	7,0	5,8	5,5
14,55	1,79	7,0	5,8	5,5
14,57	1,76	7,0	5,8	5,5
14,60	1,73	7,0	5,8	5,5
14,62	1,70	7,0	5,8	5,5
14,65	1,66	7,0	5,8	5,5
14,67	1,64	7,0	5,8	5,5
14,70	1,61	7,0	5,8	5,5
14,72	1,57	7,0	5,8	5,5
14,74	1,53	7,0	5,8	5,5
14,77	1,50	7,0	5,8	5,5
14,79	1,47	7,0	5,8	5,5
14,82	1,43	7,0	5,8	5,5
14,84	1,40	7,0	5,8	5,5
14,87	1,36	7,0	5,8	5,5
14,89	1,32	7,0	5,8	5,5
14,92	1,28	7,0	5,8	5,5
14,94	1,25	7,0	5,8	5,5
14,96	1,22	7,0	5,8	5,5
14,99	1,18	7,0	5,8	5,5
15,01	1,15	7,0	5,8	5,5
15,04	1,11	7,0	5,8	5,5
15,06	1,06	7,0	5,8	5,5
15,09	1,03	7,0	5,8	5,5
15,11	1,00	7,0	5,8	5,5
15,14	0,96	7,0	5,8	5,5
15,16	0,92	7,0	5,8	5,5
15,18	0,89	7,0	5,8	5,5
15,21	0,86	7,0	5,8	5,5
15,23	0,82	7,0	5,8	5,5
15,26	0,78	7,0	5,8	5,5
15,28	0,75	7,0	5,8	5,5
15,31	0,72	7,0	5,8	5,5
15,33	0,68	7,0	5,8	5,5
15,36	0,63	7,0	5,8	5,5
15,38	0,60	7,0	5,8	5,5
15,40	0,58	7,0	5,8	5,5
15,43	0,54	7,0	5,8	5,5
15,45	0,50	7,0	5,8	5,5
15,48	0,48	7,0	5,8	5,5
15,50	0,45	7,0	5,8	5,5
15,53	0,43	7,0	5,8	5,5
15,55	0,39	7,0	5,8	5,5
15,57	0,36	7,0	5,8	5,5
15,60	0,34	7,0	5,8	5,5
15,62	0,31	7,0	5,8	5,5
15,65	0,28	7,0	5,8	5,5
15,67	0,25	7,0	5,8	5,5
15,70	0,24	7,0	5,8	5,5
15,72	0,22	7,0	5,8	5,5
15,75	0,19	7,0	5,8	5,5
15,77	0,17	7,0	5,8	5,5
15,79	0,16	7,0	5,8	5,5
15,82	0,15	7,0	5,8	5,5
15,84	0,12	7,0	5,8	5,5
15,87	0,11	7,0	5,8	5,5
15,89	0,10	7,0	5,8	5,5
15,92	0,09	7,0	5,8	5,5
15,94	0,07	7,0	5,8	5,5
15,97	0,06	7,0	5,8	5,5
15,99	0,06	7,0	5,8	5,5
16,01	0,05	7,0	5,8	5,5
16,04	0,04	7,0	5,8	5,5
16,06	0,03	7,0	5,8	5,5
16,09	0,03	7,0	5,8	5,5
16,11	0,03	7,0	5,8	5,5
16,14	0,02	7,0	5,8	5,5
16,16	0,01	7,0	5,8	5,5
16,19	0,01	7,0	5,8	5,5
16,21	0,01	7,0	5,8	5,5
16,23	0,01	7,0	5,8	5,5
16,26	0,01	7,0	5,8	5,5
16,28	0,01	7,0	5,8	5,5
16,31	0,01	7,0	5,8	5,5
16,33	0,01	7,0	5,8	5,5
16,36	0,01	7,0	5,8	5,5
16,38	0,01	7,0	5,8	5,5
16,41	0,01	7,0	5,8	5,5
16,43	0,01	7,0	5,8	5,5
16,45	0,01	7,0	5,8	5,5
16,48	0,01	7,0	5,8	5,5
16,50	0,01	7,0	5,8	5,5
16,53	0,01	7,0	5,8	5,5
16,55	0,01	7,0	5,8	5,5
16,58	0,01	7,0	5,8	5,5
16,60	0,01	7,0	5,8	5,5
16,63	0,01	7,0	5,8	5,5
16,65	0,01	7,0	5,8	5,5
16,67	0,01	7,0	5,8	5,5
16,70	0,01	7,0	5,8	5,5
