Voltage U1	Corriente IA	Voltage U2	Voltage U3	Voltage UH
U1/V	IA/nA	U2/V	U3/V	UH/V

12,57	41,40	1,0	5,9	7,0
12,60	41,48	1,0	5,9	7,0
12,62	41,64	1,0	5,9	7,0
12,64	41,82	1,0	5,9	7,0
12,67	41,89	1,0	5,9	7,0
12,69	41,95	1,0	5,9	7,0
12,72	42,13	1,0	5,9	7,0
12,74	42,29	1,0	5,9	7,0
12,77	42,37	1,0	5,9	7,0
12,79	42,45	1,0	5,9	7,0
12,82	42,64	1,0	5,9	7,0
12,84	42,78	1,0	5,9	7,0
12,86	42,86	1,0	5,9	7,0
12,89	42,95	1,0	5,9	7,0
12,91	43,13	1,0	5,9	7,0
12,94	43,30	1,0	5,9	7,0
12,96	43,36	1,0	5,9	7,0
12,99	43,47	1,0	5,9	7,0
13,01	43,68	1,0	5,9	7,0
13,04	43,85	1,0	5,9	7,0
13,06	43,92	1,0	5,9	7,0
13,08	44,04	1,0	5,9	7,0
13,11	44,25	1,0	5,9	7,0
13,13	44,40	1,0	5,9	7,0
13,16	44,47	1,0	5,9	7,0
13,18	44,61	1,0	5,9	7,0
13,21	44,79	1,0	5,9	7,0
13,23	44,95	1,0	5,9	7,0
13,26	45,00	1,0	5,9	7,0
13,28	45,11	1,0	5,9	7,0
13,30	45,28	1,0	5,9	7,0
13,33	45,40	1,0	5,9	7,0
13,35	45,43	1,0	5,9	7,0
13,38	45,52	1,0	5,9	7,0
13,40	45,66	1,0	5,9	7,0
13,43	45,76	1,0	5,9	7,0
13,45	45,81	1,0	5,9	7,0
13,47	45,91	1,0	5,9	7,0
13,50	46,02	1,0	5,9	7,0
13,52	46,13	1,0	5,9	7,0
13,55	46,15	1,0	5,9	7,0
13,57	46,24	1,0	5,9	7,0
13,60	46,38	1,0	5,9	7,0
13,62	46,47	1,0	5,9	7,0
13,65	46,56	1,0	5,9	7,0
13,67	46,74	1,0	5,9	7,0
13,69	46,97	1,0	5,9	7,0
13,72	47,20	1,0	5,9	7,0
13,74	47,41	1,0	5,9	7,0
13,77	47,70	1,0	5,9	7,0
13,79	48,00	1,0	5,9	7,0
13,82	48,25	1,0	5,9	7,0
13,84	48,48	1,0	5,9	7,0
13,87	48,76	1,0	5,9	7,0
13,89	49,02	1,0	5,9	7,0
13,91	49,24	1,0	5,9	7,0
13,94	49,44	1,0	5,9	7,0
13,96	49,64	1,0	5,9	7,0
13,99	49,80	1,0	5,9	7,0
14,01	49,89	1,0	5,9	7,0
14,04	49,95	1,0	5,9	7,0
14,06	49,98	1,0	5,9	7,0
14,09	49,99	1,0	5,9	7,0
14,11	49,99	1,0	5,9	7,0
14,13	49,99	1,0	5,9	7,0
14,16	49,99	1,0	5,9	7,0
14,18	49,99	1,0	5,9	7,0
14,21	49,99	1,0	5,9	7,0
14,23	49,99	1,0	5,9	7,0
14,26	49,99	1,0	5,9	7,0
14,28	49,99	1,0	5,9	7,0
14,31	49,99	1,0	5,9	7,0
14,33	49,99	1,0	5,9	7,0
14,35	49,99	1,0	5,9	7,0
14,38	49,99	1,0	5,9	7,0
14,40	49,99	1,0	5,9	7,0
14,43	49,99	1,0	5,9	7,0
14,45	49,99	1,0	5,9	7,0
14,48	49,99	1,0	5,9	7,0
14,50	49,99	1,0	5,9	7,0
14,52	49,99	1,0	5,9	7,0
14,55	49,99	1,0	5,9	7,0
14,57	49,99	1,0	5,9	7,0
14,60	49,99	1,0	5,9	7,0
14,62	49,99	1,0	5,9	7,0
14,65	49,99	1,0	5,9	7,0
14,67	49,99	1,0	5,9	7,0
14,70	49,99	1,0	5,9	7,0
14,72	49,99	1,0	5,9	7,0
14,74	49,99	1,0	5,9	7,0
14,77	49,99	1,0	5,9	7,0
14,79	49,99	1,0	5,9	7,0
14,82	49,99	1,0	5,9	7,0
14,84	49,99	1,0	5,9	7,0
14,87	49,99	1,0	5,9	7,0
14,89	49,99	1,0	5,9	7,0
14,92	49,99	1,0	5,9	7,0
14,94	49,99	1,0	5,9	7,0
14,96	49,99	1,0	5,9	7,0
14,99	49,99	1,0	5,9	7,0
15,01	49,99	1,0	5,9	7,0
15,04	49,99	1,0	5,9	7,0
15,06	49,99	1,0	5,9	7,0
15,09	49,99	1,0	5,9	7,0
15,11	49,99	1,0	5,9	7,0
15,14	49,99	1,0	5,9	7,0
15,16	49,99	1,0	5,9	7,0
15,18	49,99	1,0	5,9	7,0
15,21	49,99	1,0	5,9	7,0
15,23	49,99	1,0	5,9	7,0
15,26	49,99	1,0	5,9	7,0
15,28	49,99	1,0	5,9	7,0
15,31	49,99	1,0	5,9	7,0
15,33	49,99	1,0	5,9	7,0
15,36	49,99	1,0	5,9	7,0
15,38	49,99	1,0	5,9	7,0
15,40	49,99	1,0	5,9	7,0
15,43	49,99	1,0	5,9	7,0
15,45	49,99	1,0	5,9	7,0
15,48	49,99	1,0	5,9	7,0
15,50	49,99	1,0	5,9	7,0
15,53	49,99	1,0	5,9	7,0
15,55	49,99	1,0	5,9	7,0
15,57	49,99	1,0	5,9	7,0
15,60	49,99	1,0	5,9	7,0
15,62	49,99	1,0	5,9	7,0
15,65	49,99	1,0	5,9	7,0
15,67	49,99	1,0	5,9	7,0
15,70	49,99	1,0	5,9	7,0
15,72	49,99	1,0	5,9	7,0
15,75	49,99	1,0	5,9	7,0
15,77	49,99	1,0	5,9	7,0
15,79	49,99	1,0	5,9	7,0
15,82	49,99	1,0	5,9	7,0
15,84	49,99	1,0	5,9	7,0
15,87	49,99	1,0	5,9	7,0
15,89	49,99	1,0	5,9	7,0
15,92	49,99	1,0	5,9	7,0
15,94	49,99	1,0	5,9	7,0
15,97	49,99	1,0	5,9	7,0
15,99	49,99	1,0	5,9	7,0
16,01	49,99	1,0	5,9	7,0
16,04	49,99	1,0	5,9	7,0
16,06	49,99	1,0	5,9	7,0
16,09	49,99	1,0	5,9	7,0
16,11	49,99	1,0	5,9	7,0
16,14	49,99	1,0	5,9	7,0
